_id,label,created_at_UTC
5eedd37994387308a6db5b70,0,2020-04-27T06:18:06.000Z
5eedd37994387308a6db5b71,0,2020-03-30T21:58:28.000Z
5eedd37994387308a6db5b72,0,2020-04-06T13:09:37.000Z
5eedd37994387308a6db5b73,0,2020-03-23T11:42:47.000Z
5eedd37994387308a6db5b74,0,2020-04-06T13:00:58.000Z
5eedd37994387308a6db5b75,0,2020-03-23T15:23:03.000Z
5eedd37994387308a6db5b76,0,2020-04-13T02:51:38.000Z
5eedd37994387308a6db5b77,0,2020-03-23T15:22:44.000Z
5eedd37994387308a6db5b78,0,2020-03-23T14:53:22.000Z
5eedd37994387308a6db5b79,0,2020-04-26T23:23:37.000Z
5eedd37994387308a6db5b7a,0,2020-03-23T15:49:01.000Z
5eedd37994387308a6db5b7b,0,2020-03-16T13:47:33.000Z
5eedd37994387308a6db5b7c,0,2020-04-13T02:31:26.000Z
5eedd37994387308a6db5b7d,0,2020-04-06T10:03:55.000Z
5eedd37994387308a6db5b7e,1,2020-03-23T15:41:38.000Z
5eedd37994387308a6db5b7f,0,2020-03-30T20:41:22.000Z
5eedd37994387308a6db5b80,0,2020-03-16T14:31:45.000Z
5eedd37994387308a6db5b81,0,2020-04-20T15:08:43.000Z
5eedd37994387308a6db5b82,0,2020-04-06T13:48:46.000Z
5eedd37994387308a6db5b83,0,2020-04-20T15:06:01.000Z
5eedd37994387308a6db5b84,2,2020-04-12T23:39:52.000Z
5eedd37994387308a6db5b85,0,2020-03-09T02:00:01.000Z
5eedd37994387308a6db5b86,0,2020-03-23T15:39:11.000Z
5eedd37994387308a6db5b87,0,2020-04-20T20:24:35.000Z
5eedd37994387308a6db5b88,0,2020-04-20T19:03:43.000Z
5eedd37994387308a6db5b89,0,2020-04-06T01:03:02.000Z
5eedd37994387308a6db5b8a,0,2020-04-20T14:40:26.000Z
5eedd37994387308a6db5b8b,0,2020-03-30T19:51:26.000Z
5eedd37994387308a6db5b8c,0,2020-04-20T17:25:03.000Z
5eedd37994387308a6db5b8d,0,2020-03-23T15:20:24.000Z
5eedd37994387308a6db5b8e,0,2020-04-26T23:20:14.000Z
5eedd37994387308a6db5b8f,0,2020-04-20T11:25:40.000Z
5eedd37994387308a6db5b90,0,2020-03-30T20:25:46.000Z
5eedd37994387308a6db5b91,0,2020-04-13T14:23:17.000Z
5eedd37994387308a6db5b92,0,2020-03-09T04:38:38.000Z
5eedd37994387308a6db5b93,0,2020-04-06T13:18:19.000Z
5eedd37994387308a6db5b94,0,2020-04-20T15:59:39.000Z
5eedd37994387308a6db5b95,0,2020-04-13T03:06:14.000Z
5eedd37994387308a6db5b96,0,2020-04-20T16:09:51.000Z
5eedd37994387308a6db5b97,0,2020-04-20T16:32:16.000Z
5eedd37994387308a6db5b98,0,2020-04-20T21:40:11.000Z
5eedd37994387308a6db5b99,0,2020-04-27T17:01:58.000Z
5eedd37994387308a6db5b9a,0,2020-04-20T17:31:05.000Z
5eedd37994387308a6db5b9b,0,2020-04-13T04:00:12.000Z
5eedd37994387308a6db5b9c,0,2020-03-23T15:22:42.000Z
5eedd37994387308a6db5b9d,2,2020-04-20T19:02:48.000Z
5eedd37994387308a6db5b9e,0,2020-03-16T13:35:33.000Z
5eedd37994387308a6db5b9f,0,2020-04-20T15:35:40.000Z
5eedd37994387308a6db5ba0,0,2020-03-30T21:42:11.000Z
5eedd37994387308a6db5ba1,0,2020-04-06T10:03:16.000Z
5eedd37994387308a6db5ba2,0,2020-04-20T17:35:52.000Z
5eedd37994387308a6db5ba3,0,2020-04-27T07:07:03.000Z
5eedd37994387308a6db5ba4,0,2020-04-13T21:38:38.000Z
5eedd37994387308a6db5ba5,0,2020-04-20T21:12:23.000Z
5eedd37994387308a6db5ba6,0,2020-03-23T15:40:25.000Z
5eedd37994387308a6db5ba7,0,2020-03-02T00:22:46.000Z
5eedd37994387308a6db5ba8,0,2020-03-16T14:33:42.000Z
5eedd37994387308a6db5ba9,0,2020-03-30T20:40:53.000Z
5eedd37994387308a6db5baa,0,2020-03-30T21:30:55.000Z
5eedd37994387308a6db5bab,0,2020-03-23T15:16:21.000Z
5eedd37994387308a6db5bac,0,2020-03-02T01:17:19.000Z
5eedd37994387308a6db5bad,0,2020-04-06T12:37:26.000Z
5eedd37994387308a6db5bae,0,2020-03-23T15:53:39.000Z
5eedd37994387308a6db5baf,0,2020-04-06T12:37:06.000Z
5eedd37994387308a6db5bb0,0,2020-03-02T01:10:46.000Z
5eedd37994387308a6db5bb1,0,2020-04-06T01:05:19.000Z
5eedd37994387308a6db5bb2,0,2020-03-09T13:29:54.000Z
5eedd37994387308a6db5bb3,0,2020-03-23T15:59:28.000Z
5eedd37994387308a6db5bb4,2,2020-03-16T13:32:34.000Z
5eedd37994387308a6db5bb5,0,2020-04-27T06:52:32.000Z
5eedd37994387308a6db5bb6,0,2020-03-30T21:00:20.000Z
5eedd37994387308a6db5bb7,0,2020-03-30T21:59:20.000Z
5eedd37994387308a6db5bb8,0,2020-03-30T21:48:33.000Z
5eedd37994387308a6db5bb9,0,2020-04-13T03:10:08.000Z
5eedd37994387308a6db5bba,0,2020-04-27T06:58:18.000Z
5eedd37994387308a6db5bbb,0,2020-04-27T06:40:55.000Z
5eedd37994387308a6db5bbc,0,2020-03-09T02:39:30.000Z
5eedd37994387308a6db5bbd,0,2020-03-16T13:35:14.000Z
5eedd37994387308a6db5bbe,0,2020-04-06T09:12:27.000Z
5eedd37994387308a6db5bbf,0,2020-04-27T20:00:39.000Z
5eedd37994387308a6db5bc0,0,2020-04-13T03:06:03.000Z
5eedd37994387308a6db5bc1,0,2020-03-16T13:30:30.000Z
5eedd37994387308a6db5bc2,0,2020-04-06T13:04:43.000Z
5eedd37994387308a6db5bc3,0,2020-04-13T20:17:28.000Z
5eedd37994387308a6db5bc4,2,2020-03-02T01:09:03.000Z
5eedd37994387308a6db5bc5,0,2020-03-30T20:59:30.000Z
5eedd37994387308a6db5bc6,0,2020-04-06T01:04:21.000Z
5eedd37994387308a6db5bc7,0,2020-03-30T19:29:43.000Z
5eedd37994387308a6db5bc8,0,2020-04-12T23:05:51.000Z
5eedd37994387308a6db5bc9,0,2020-03-23T14:59:09.000Z
5eedd37994387308a6db5bca,0,2020-03-23T15:41:50.000Z
5eedd37994387308a6db5bcb,0,2020-03-16T13:36:42.000Z
5eedd37994387308a6db5bcc,0,2020-03-16T14:28:57.000Z
5eedd37994387308a6db5bcd,0,2020-03-09T12:41:13.000Z
5eedd37994387308a6db5bce,0,2020-03-23T15:23:20.000Z
5eedd37994387308a6db5bcf,0,2020-04-13T02:48:11.000Z
5eedd37994387308a6db5bd0,0,2020-03-30T20:14:40.000Z
5eedd37994387308a6db5bd1,0,2020-03-23T15:23:57.000Z
5eedd37994387308a6db5bd2,1,2020-03-23T15:45:07.000Z
5eedd37994387308a6db5bd3,0,2020-04-06T13:04:51.000Z
5eedd37994387308a6db5bd4,0,2020-03-02T00:42:20.000Z
5eedd37994387308a6db5bd5,0,2020-03-16T13:47:06.000Z
5eedd37994387308a6db5bd6,0,2020-03-02T00:29:43.000Z
5eedd37994387308a6db5bd7,0,2020-04-13T02:01:44.000Z
5eedd37994387308a6db5bd8,0,2020-03-16T13:35:49.000Z
5eedd37994387308a6db5bd9,0,2020-03-30T21:49:55.000Z
5eedd37994387308a6db5bda,0,2020-04-13T00:51:41.000Z
5eedd37994387308a6db5bdb,0,2020-04-13T03:00:47.000Z
5eedd37994387308a6db5bdc,0,2020-03-09T13:25:42.000Z
5eedd37994387308a6db5bdd,0,2020-03-02T00:56:15.000Z
5eedd37994387308a6db5bde,0,2020-04-27T17:15:23.000Z
5eedd37994387308a6db5bdf,0,2020-03-16T14:28:53.000Z
5eedd37994387308a6db5be0,0,2020-03-30T20:05:27.000Z
5eedd37994387308a6db5be1,0,2020-03-16T14:46:54.000Z
5eedd37994387308a6db5be2,0,2020-03-23T15:34:49.000Z
5eedd37994387308a6db5be3,0,2020-03-16T14:21:08.000Z
5eedd37994387308a6db5be4,0,2020-03-16T13:36:45.000Z
5eedd37994387308a6db5be5,0,2020-03-16T13:51:29.000Z
5eedd37994387308a6db5be6,0,2020-04-20T17:19:59.000Z
5eedd37994387308a6db5be7,0,2020-04-20T16:21:08.000Z
5eedd37994387308a6db5be8,0,2020-03-23T15:37:29.000Z
5eedd37994387308a6db5be9,0,2020-04-26T23:33:39.000Z
5eedd37994387308a6db5bea,0,2020-03-23T15:06:36.000Z
5eedd37994387308a6db5beb,0,2020-03-09T13:14:39.000Z
5eedd37994387308a6db5bec,1,2020-03-16T14:39:06.000Z
5eedd37994387308a6db5bed,0,2020-04-20T20:40:18.000Z
5eedd37994387308a6db5bee,0,2020-03-16T14:21:30.000Z
5eedd37994387308a6db5bef,0,2020-03-09T13:40:34.000Z
5eedd37994387308a6db5bf0,0,2020-04-27T21:07:35.000Z
5eedd37994387308a6db5bf1,0,2020-03-30T21:16:19.000Z
5eedd37994387308a6db5bf2,0,2020-03-16T13:50:10.000Z
5eedd37994387308a6db5bf3,0,2020-04-06T14:19:52.000Z
